compound_name,chembl_id,smiles,target_genes,pchembl_value,clinical_phase,toxicity_score,ro5_pass,bbb_permeability,top_adverse_reactions,active_trial_count,composite_score
OPICAPONE,CHEMBL1089318,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,COMT,9.0,4.0,0.6302,True,0.222,"FALL, DYSKINESIA, HALLUCINATION",1,0.5623
OPICAPONE,CHEMBL1089318,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,COMT,9.0,4.0,0.6302,True,0.222,"FALL, DYSKINESIA, HALLUCINATION",1,0.5623
LEVOMETHADONE,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.7,2.0,0.5687,True,0.9803,"DRUG ABUSE, AGGRESSION, SUBSTANCE ABUSE",0,0.5596
LEVOMETHADONE,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.7,2.0,0.5687,True,0.9803,"DRUG ABUSE, AGGRESSION, SUBSTANCE ABUSE",0,0.5596
LEVOMETHADONE,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.7,2.0,0.5687,True,0.9803,"DRUG ABUSE, AGGRESSION, SUBSTANCE ABUSE",0,0.5596
LEVOMETHADONE,CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.7,2.0,0.5687,True,0.9803,"DRUG ABUSE, AGGRESSION, SUBSTANCE ABUSE",0,0.5596
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1,SNCA,5.1487,4.0,0.503,True,0.5314,"DRUG INEFFECTIVE, RENAL FAILURE, HYPOTENSION",10,0.5596
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1,SNCA,5.1487,4.0,0.503,True,0.5314,"DRUG INEFFECTIVE, RENAL FAILURE, HYPOTENSION",10,0.5596
BOS-172722,CHEMBL3924132,CCOc1cc(-c2nncn2C)ccc1Nc1ncc2cc(C)nc(NCC(C)(C)C)c2n1,LRRK2,7.3188,1.0,0.6702,True,0.9149,,0,0.5595
LUCANTHONE,CHEMBL279014,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,MAPT,4.9626,2.0,0.5841,True,0.9624,,0,0.5577
TRAXOPRODIL,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,GRIN1,7.9586,2.0,0.5719,True,0.4687,,0,0.5537
TRAXOPRODIL,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,GRIN1,7.9586,2.0,0.5719,True,0.4687,,0,0.5537
TRAXOPRODIL,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,GRIN1,7.9586,2.0,0.5719,True,0.4687,,0,0.5537
TRAXOPRODIL,CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,GRIN1,7.9586,2.0,0.5719,True,0.4687,,0,0.5537
ABIVERTINIB,CHEMBL4297865,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,LRRK2,6.3869,3.0,0.7142,True,0.8333,,0,0.5476
ABIVERTINIB,CHEMBL4297865,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,LRRK2,6.3869,3.0,0.7142,True,0.8333,,0,0.5476
TOLCAPONE,CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,COMT,6.8962,4.0,0.5799,True,0.3588,"DEATH, DRUG INTERACTION, FALL",1,0.5467
TOLCAPONE,CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,COMT,6.8962,4.0,0.5799,True,0.3588,"DEATH, DRUG INTERACTION, FALL",1,0.5467
TOLCAPONE,CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,COMT,6.8962,4.0,0.5799,True,0.3588,"DEATH, DRUG INTERACTION, FALL",1,0.5467
BETAMETHADOL,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.5,2.0,0.5621,True,0.9264,,0,0.5454
ALPHAMETHADOL,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.5,2.0,0.5621,True,0.9264,,0,0.5454
ALPHAMETHADOL,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.5,2.0,0.5621,True,0.9264,,0,0.5454
BETAMETHADOL,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.5,2.0,0.5621,True,0.9264,,0,0.5454
ALPHAMETHADOL,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.5,2.0,0.5621,True,0.9264,,0,0.5454
BETAMETHADOL,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.5,2.0,0.5621,True,0.9264,,0,0.5454
ALPHAMETHADOL,CHEMBL159660,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,GRIN1,4.5,2.0,0.5621,True,0.9264,,0,0.5454
SELFOTEL,CHEMBL39664,O=C(O)[C@@H]1C[C@H](CP(=O)(O)O)CCN1,GRIN1,7.2676,2.0,0.4665,True,0.2951,,0,0.5404
SELFOTEL,CHEMBL39664,O=C(O)[C@@H]1C[C@H](CP(=O)(O)O)CCN1,GRIN1,7.2676,2.0,0.4665,True,0.2951,,0,0.5404
CIPARGAMIN,CHEMBL1082723,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,GRIN1,5.0,2.0,0.6121,True,0.9132,,0,0.5378
ESTRIOL,CHEMBL193482,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,SNCA,4.6968,4.0,0.511,True,0.4924,"NAUSEA, FATIGUE, HEADACHE",0,0.535
VARESPLADIB,CHEMBL148674,CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1,PLA2G6,6.2291,2.0,0.6368,True,0.7569,,0,0.5335
VARESPLADIB,CHEMBL148674,CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1,PLA2G6,6.2291,2.0,0.6368,True,0.7569,,0,0.5335
VARESPLADIB,CHEMBL148674,CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1,PLA2G6,6.2291,2.0,0.6368,True,0.7569,,0,0.5335
VARESPLADIB,CHEMBL148674,CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1,PLA2G6,6.2291,2.0,0.6368,True,0.7569,,0,0.5335
