gene_symbol,uniprot_id,compound_id,smiles,relation,value,units
SNCA,P37840,CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,=,2580.0,nM
SNCA,P37840,CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,=,2570.0,nM
LRRK2,Q5S007,CHEMBL3639728,COc1ncc(F)cc1CNc1ccc(Cc2c[nH]c3ncc(C)cc23)c(F)n1,>,1000.0,nM
LRRK2,Q5S007,CHEMBL1738757,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,=,620.0,nM
VPS35,Q96QK1,CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,=,5760.0,nM
PARK7,Q99497,CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,=,10000.0,nM
LRRK2,Q5S007,CHEMBL3545311,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,=,51.0,nM
LRRK2,Q5S007,CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,>,30000.0,nM
LRRK2,Q5S007,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,=,79.0,nM
LRRK2,Q5S007,CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,>,30000.0,nM
LRRK2,Q5S007,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,=,19.0,nM
LRRK2,Q5S007,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,=,40.0,nM
LRRK2,Q5S007,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,=,40.0,nM
MAPT,P10636,CHEMBL4804173,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,=,0.43,nM
GRIN1,Q05586,CHEMBL5095074,Oc1ccc([C@@H](O)CN2C[C@H]3C[C@H](Oc4ccccc4F)C[C@H]3C2)nc1,=,8.3,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
SNCA,P37840,CHEMBL1908919,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,=,76.6,nM
MAPT,P10636,CHEMBL1908919,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,=,30.6,nM
SNCA,P37840,CHEMBL5095072,CCCC[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cnc(N2CCN(C)CC2)s1,=,700.0,nM
LRRK2,Q5S007,CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,<,30.0,nM
